,level,level_name,field_of_study,academic_field,academic_field_imputed
212,bachelor,bachelor,"bachelor of arts ba, language and communication",languages and literature,languages and literature
213,bachelor,bachelor,"bachelor of arts ba, linguistics",languages and literature,languages and literature
214,bachelor,bachelor,"bachelor of arts ba, mass communication media studies",media studies,media studies
215,bachelor,bachelor,"bachelor of arts ba, oriental languages and cultures",,<NA>
216,bachelor,bachelor,"bachelor of arts ba, philosophy",philosophy,philosophy
217,bachelor,bachelor,"bachelor of arts ba, philosophy and politics",philosophy,philosophy
218,bachelor,bachelor,"bachelor of arts ba, public relations and marketing",marketing,marketing
219,bachelor,bachelor,"bachelor of arts ba, sociology",sociology,sociology
220,bachelor,bachelor,"bachelor of arts ba, theatre theater",,<NA>
221,bachelor,bachelor,"bachelor of arts ba, tourism and events management hospitality and tourism management",,<NA>
222,bachelor,bachelor,"bachelor of arts ba, translation",,<NA>
223,bachelor,bachelor,"bachelor of arts ba hons, business with tourism",,<NA>
224,bachelor,bachelor,bachelor of arts b a,,<NA>
225,bachelor,bachelor,"bachelor of arts b a honours, business and management",business management,business management
226,bachelor,bachelor,"bachelor of arts b a in design communication, graphic design",,<NA>
227,bachelor,bachelor,"bachelor of arts b a, advertising",,<NA>
228,bachelor,bachelor,"bachelor of arts b a, advertising and marketing",,<NA>
229,bachelor,bachelor,"bachelor of arts b a, arts, entertainment, and media management",,<NA>
230,bachelor,bachelor,"bachelor of arts b a, behavioral studies",,<NA>
231,bachelor,bachelor,"bachelor of arts b a, business and human resources management",human resources,human resources
232,bachelor,bachelor,"bachelor of arts b a, business studies",,<NA>
233,bachelor,bachelor,"bachelor of arts b a, communication and media studies",media studies,media studies
234,bachelor,bachelor,"bachelor of arts b a, communications",,<NA>
235,bachelor,bachelor,"bachelor of arts b a, computer science",computer science,computer science
236,bachelor,bachelor,"bachelor of arts b a, creative writing and english double major with an environmental studies minor",,<NA>
237,bachelor,bachelor,"bachelor of arts b a, double major in communication and media studies, economics",media studies,media studies
238,bachelor,bachelor,"bachelor of arts b a, economics",economics,economics
239,bachelor,bachelor,"bachelor of arts b a, economics, chinese studies, philiosophy",,<NA>
240,bachelor,bachelor,"bachelor of arts b a, economics, sociology",sociology,sociology
241,bachelor,bachelor,"bachelor of arts b a, english language and literature, general",,<NA>
242,bachelor,bachelor,"bachelor of arts b a, english literature british and commonwealth",english literature,english literature
243,bachelor,bachelor,"bachelor of arts b a, english literature philosophy",,<NA>
244,bachelor,bachelor,"bachelor of arts b a, finance",finance,finance
245,bachelor,bachelor,"bachelor of arts b a, french and german",,<NA>
246,bachelor,bachelor,"bachelor of arts b a, international studies",,<NA>
247,bachelor,bachelor,"bachelor of arts b a, international studies economics",,<NA>
248,bachelor,bachelor,"bachelor of arts b a, law and management science",law,law
249,bachelor,bachelor,"bachelor of arts b a, major in english, minor in linguistics",,<NA>
250,bachelor,bachelor,"bachelor of arts b a, marketing",marketing,marketing
251,bachelor,bachelor,"bachelor of arts b a, mass communication media studies",media studies,media studies
252,bachelor,bachelor,"bachelor of arts b a, philosophy and english",,<NA>
